Contig A,Contig B,Interaction Score
MBQ9824173.1,MBQ6680592.1,0.5396735047016233
MBP1530666.1,MBO7618333.1,0.5394913594863504
MBR3584553.1,MBR1821073.1,0.539377518726805
MBQ9048695.1,MBR1513057.1,0.5390132282962592
MBQ9824173.1,MBO7618333.1,0.538785546777168
MBQ9824173.1,MCD8099887.1,0.5383074155870768
MBQ9824173.1,MBR3404888.1,0.5376926754855308
MBO5520212.1,MBO6242946.1,0.5373511532068942
MBO5520212.1,MBR4633184.1,0.5372828487511668
MBR3404888.1,WP_074650843.1,0.5369185583206211
WP_074650843.1,CDW77704.1,0.5368502538648938
MBR2596575.1,WP_074650843.1,0.5352564832312561
MBR2829755.1,MBO6242946.1,0.535233715079347
MBO5520212.1,MCD8099887.1,0.5335033355342547
MBR5910679.1,MBQ6564140.1,0.5326836820655267
MBR2829755.1,CDW77704.1,0.5321600145716172
MBR3404888.1,MBQ2506276.1,0.5313403611028892
WP_074650843.1,QNM08892.1,0.5310443751280708
MBR3404888.1,MBO6242946.1,0.5309077662166162
MBR2829755.1,MBD5156460.1,0.5308394617608888
MBR2829755.1,MBQ6173334.1,0.5307256210013432
MBR2829755.1,EAO76197.1,0.5306117802417978
MBR1821073.1,MBO5537330.1,0.5303840987227066
MBO6269818.1,MBQ9824173.1,0.53004257644407
MBR2829755.1,MBQ7535020.1,0.5299742719883427
MBR6907536.1,MBR3007466.1,0.5298148949249789
MBO6269818.1,AAL09332.1,0.5292912274310694
ASV60182.1,MBR3007466.1,0.52901800960816
MBR4423622.1,MBR1821073.1,0.5283577332027959
WP_087353315.1,MBR1821073.1,0.5283349650508868
ASV60182.1,MBD5156460.1,0.5274697752783406
MBQ8130416.1,MBR1821073.1,0.5273103982149768
MBO5632831.1,MBO5520212.1,0.5271054848477948
WP_087353315.1,MBQ9824173.1,0.5267867307210673
MBP1530666.1,XP_016974417.1,0.525876004644703
MBQ4399209.1,WP_074650843.1,0.5249880467202477
ASV60182.1,EAO76197.1,0.524851437808793
MBO5520212.1,WP_086488123.1,0.5239634798843378
MBR1821073.1,MBQ9301210.1,0.5239407117324286
WP_074650843.1,MBQ2506276.1,0.5227795359850641
MBQ9824173.1,MBQ6173334.1,0.5226429270736094
MBO5544287.1,MBD5156460.1,0.5223241729468818
WP_074650843.1,MBQ6173334.1,0.5222558684911546
MBQ7684065.1,MBR1821073.1,0.5220964914277908
